period,series-description,value,units,state
2019,Wisconsin Natural Gas Interstate Deliveries to Illinois (MMcf),0.0,MMCF,WI-IL
2019,Wisconsin Natural Gas Interstate Deliveries to Michigan (MMcf),353036.0,MMCF,WI-MI
2019,Wisconsin Natural Gas Interstate Deliveries to Minnesota (MMcf),3149.0,MMCF,WI-MN
2019,West Virginia Natural Gas Interstate Deliveries to Kentucky (MMcf),728094.0,MMCF,WV-KY
2019,West Virginia Natural Gas Interstate Deliveries to Ohio (MMcf),1035145.0,MMCF,WV-OH
2019,West Virginia Natural Gas Interstate Deliveries to Pennsylvania (MMcf),261634.0,MMCF,WV-PA
2019,West Virginia Natural Gas Interstate Deliveries to Virginia (MMcf),476557.0,MMCF,WV-VA
2019,Wyoming Natural Gas Interstate Deliveries to Colorado (MMcf),457331.0,MMCF,WY-CO
2019,Wyoming Natural Gas Interstate Deliveries to Idaho (MMcf),26.0,MMCF,WY-ID
2019,Wyoming Natural Gas Interstate Deliveries to Montana (MMcf),24066.0,MMCF,WY-MT
2019,Wyoming Natural Gas Interstate Deliveries to Nebraska (MMcf),621967.0,MMCF,WY-NE
2019,Wyoming Natural Gas Interstate Deliveries to New Mexico (MMcf),1.0,MMCF,WY-NM
2019,Wyoming Natural Gas Interstate Deliveries to Nevada (MMcf),17.0,MMCF,WY-NV
2019,Wyoming Natural Gas Interstate Deliveries to South Dakota (MMcf),6846.0,MMCF,WY-SD
2019,Wyoming Natural Gas Interstate Deliveries to Utah (MMcf),1223521.0,MMCF,WY-UT
