name,nice_name
discount_rate_trn_lpg_med,Medium Duty ICE
discount_rate_trn_lpg_hvy,Heavy Duty ICE
discount_rate_trn_lpg_bus,Bus ICE
eff_trn_ship_boat,Domestic Shipping
eff_trn_rail_psg,Passenger Rail
eff_trn_rail_ship,Freight Rail
eff_trn_air_psg,Passenger Air
res_gshp_limit,GSHP Capacity
com_gshp_limit,GSHP Capacity
coal_cost,Coal Fuel Cost
oil_cost,Oil Fuel Cost
lpg_cost,LPG Fuel Cost
nuclear_cost,Uranium Fuel Cost
demand_response,Demand Response
load_shedding,Load Shedding
transmission_expansion,Transmission Expansion
transmission_itl,Transmission Flows
ev_policy_lgt_duty,Light Duty EV
ev_policy_med_duty,Medium Duty EV
ev_policy_hvy_duty,Heavy Duty EV
ev_policy_bus,Bus EV
rps,Renewable Portfolio Standard
ces,Clean Energy Standard
elec_trade_flow,Electricity Trade Volume
elec_import_price,Electricity Import Price
tct_biomass,Biomass
tct_geothermal,Geothermal
tct_nuclear,Nuclear
tct_wind,Wind
tct_solar,Solar
tct_hydro,Hydro
tct_ccgt,CCGT
tct_ccgt_ccs,CCGT-CCS
tct_ocgt,OCGT
